Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
0	0	-151.3694	-212.7619	61.39245	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
1	1	-118.0343	-207.4832	89.44895	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
2	0	-104.0163	-128.4471	24.43079	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
3	1	-99.96306	-126.6853	26.72226	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
4	0	-115.3907	-127.95	12.55924	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
5	1	-113.2446	-125.1906	11.94596	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
6	0	-130.5425	-123.4508	-7.091735	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
7	1	-87.90843	-123.4742	35.56579	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
8	0	-122.253	-119.2376	-3.015432	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
9	1	-101.0876	-121.1846	20.09694	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
10	0	-136.5184	-119.3739	-17.14456	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
11	1	-119.1262	-124.4866	5.360338	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
12	0	-128.294	-118.9198	-9.374201	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
13	1	-139.4762	-120.1796	-19.2966	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
14	0	-130.6827	-115.991	-14.69175	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
15	1	-131.0821	-116.8491	-14.23299	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
16	0	-120.8691	-115.2308	-5.638229	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
17	1	-168.9281	-114.9821	-53.94606	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
18	0	-149.4211	-115.2399	-34.18118	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
19	1	-156.3699	-114.7079	-41.66201	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
20	0	-127.8747	-118.3945	-9.480234	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
21	1	-170.9827	-115.1691	-55.81357	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
22	0	-126.1347	-114.642	-11.49271	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
23	1	-180.8197	-115.329	-65.49063	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
24	0	-98.92101	-116.2823	17.36127	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
25	1	-185.5777	-116.0499	-69.52783	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
26	0	-125.0241	-119.1253	-5.898825	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
27	1	-175.7389	-115.0811	-60.65774	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
28	0	-131.9508	-114.9463	-17.00449	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
29	1	-149.3046	-116.1112	-33.19341	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
30	0	-128.0745	-115.1381	-12.93631	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
