Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	-12551.76	-12547.16	-4.60517	50.31162
1	1	-9202.859	-9198.254	-4.60517	36.90975
2	0	-388.2703	-383.6651	-4.60517	1.440442
3	1	-149.9014	-145.2962	-4.60517	0.3799363
4	0	-108.6056	-104.0004	-4.60517	0.09604254
5	1	-108.5558	-103.9506	-4.60517	0.0923388
6	0	-109.4003	-104.7952	-4.60517	0.1160976
7	1	-109.9541	-105.3489	-4.60517	0.0608883
8	0	-109.4877	-104.8825	-4.60517	0.06550877
9	1	-109.4162	-104.811	-4.60517	0.1163661
10	0	-109.1328	-104.5276	-4.60517	0.1111853
11	1	-108.9578	-104.3527	-4.60517	0.1074272
12	0	-109.2132	-104.6081	-4.60517	0.06892102
13	1	-108.6825	-104.0774	-4.60517	0.07946055
14	0	-108.5656	-103.9604	-4.60517	0.08505847
15	1	-108.6255	-104.0204	-4.60517	0.09707707
16	0	-108.5953	-103.9901	-4.60517	0.09544961
17	1	-108.7018	-104.0967	-4.60517	0.07884444
18	0	-108.5693	-103.9642	-4.60517	0.0936433
19	1	-108.7185	-104.1133	-4.60517	0.1008113
20	0	-108.6671	-104.0619	-4.60517	0.09890741
21	1	-108.76	-104.1548	-4.60517	0.1021657
22	0	-109.555	-104.9498	-4.60517	0.1186384
23	1	-108.5697	-103.9645	-4.60517	0.0847289
24	0	-108.6387	-104.0335	-4.60517	0.09769506
25	1	-109.1011	-104.496	-4.60517	0.110546
26	0	-108.5866	-103.9814	-4.60517	0.0835814
27	1	-109.1189	-104.5137	-4.60517	0.1109071
28	0	-108.7218	-104.1167	-4.60517	0.0782469
29	1	-108.7149	-104.1098	-4.60517	0.0784492
30	0	-108.7188	-104.1136	-4.60517	0.1008218
31	1	-108.8911	-104.2859	-4.60517	0.07421914
32	0	-109.3345	-104.7294	-4.60517	0.1149587
33	1	-108.9002	-104.295	-4.60517	0.07403895
34	0	-108.8328	-104.2277	-4.60517	0.07545043
35	1	-108.8468	-104.2416	-4.60517	0.1046632
36	0	-108.5448	-103.9397	-4.60517	0.09064321
37	1	-112.9895	-108.3843	-4.60517	0.04358502
38	0	-108.5423	-103.9372	-4.60517	0.0884327
39	1	-108.7047	-104.0996	-4.60517	0.1003305
40	0	-109.0878	-104.4826	-4.60517	0.07075974
41	1	-108.8487	-104.2435	-4.60517	0.1047137
42	0	-109.4927	-104.8875	-4.60517	0.06545244
43	1	-108.7867	-104.1816	-4.60517	0.07652464
44	0	-108.5544	-103.9492	-4.60517	0.0921783
45	1	-108.7155	-104.1103	-4.60517	0.07843298
46	0	-109.1967	-104.5916	-4.60517	0.06915059
47	1	-108.5494	-103.9442	-4.60517	0.09150192
48	0	-108.7995	-104.1943	-4.60517	0.1033508
49	1	-108.5665	-103.9614	-4.60517	0.08497787
50	0	-110.0431	-105.438	-4.60517	0.06012041
51	1	-108.5428	-103.9376	-4.60517	0.09003775
52	0	-108.6796	-104.0744	-4.60517	0.07955826
53	1	-111.659	-107.0538	-4.60517	0.04959437
54	0	-108.8208	-104.2156	-4.60517	0.1039549
55	1	-108.5417	-103.9366	-4.60517	0.0893905
56	0	-110.813	-106.2078	-4.60517	0.1353281
57	1	-108.7563	-104.1512	-4.60517	0.07729566
58	0	-108.7405	-104.1354	-4.60517	0.1015473
59	1	-108.9675	-104.3623	-4.60517	0.1076504
60	0	-109.0882	-104.483	-4.60517	0.1102798
61	1	-110.4866	-105.8815	-4.60517	0.1314573
62	0	-108.5559	-103.9507	-4.60517	0.08597896
63	1	-108.6182	-104.0131	-4.60517	0.08193186
64	0	-108.7592	-104.154	-4.60517	0.1021416
65	1	-108.6887	-104.0835	-4.60517	0.09974508
66	0	-108.5444	-103.9393	-4.60517	0.08772391
67	1	-108.8888	-104.2836	-4.60517	0.07426647
68	0	-108.5473	-103.9421	-4.60517	0.08713818
69	1	-108.9309	-104.3258	-4.60517	0.1067919
70	0	-110.7274	-106.1222	-4.60517	0.1343351
71	1	-109.3798	-104.7746	-4.60517	0.06676844
72	0	-109.7197	-105.1145	-4.60517	0.06306813
73	1	-109.598	-104.9929	-4.60517	0.06430656
74	0	-108.7892	-104.184	-4.60517	0.10305
75	1	-108.5426	-103.9374	-4.60517	0.08830446
76	0	-108.7968	-104.1916	-4.60517	0.07628156
77	1	-108.6001	-103.995	-4.60517	0.09573681
78	0	-108.9426	-104.3374	-4.60517	0.07322434
79	1	-108.5421	-103.9369	-4.60517	0.08967455
80	0	-108.6826	-104.0774	-4.60517	0.07945923
81	1	-109.5016	-104.8964	-4.60517	0.1177806
82	0	-108.9499	-104.3448	-4.60517	0.07308873
83	1	-108.8838	-104.2786	-4.60517	0.0743667
84	0	-108.5642	-103.9591	-4.60517	0.08517293
85	1	-108.5469	-103.9417	-4.60517	0.08720419
