state	power	likelihood
1260	1	-138.463
1270	1	-136.642
1280	1	-135.835
1290	1	-138.556
1300	1	-137.245
1310	1	-138.694
1320	1	-136.742
1330	1	-136.381
1340	1	-136.545
1350	1	-137.814
1360	1	-136.238
1370	1	-136.977
1380	1	-137.139
1390	1	-136.297
1400	1	-136.254
1410	1	-136.755
1420	1	-135.881
1430	1	-138.929
1440	1	-134.372
1450	1	-135.326
1460	1	-135.308
1470	1	-135.204
1480	1	-139.071
1490	1	-137.742
1500	1	-138.498
1510	1	-135.401
1520	1	-135.469
1530	1	-136.362
1540	1	-135.565
1550	1	-141.241
1560	1	-140.268
1570	1	-135.457
1580	1	-139.272
1590	1	-134.431
1600	1	-137.868
1610	1	-135.7
1620	1	-134.518
1630	1	-142.261
1640	1	-135.833
1650	1	-136.425
1660	1	-137.533
1670	1	-136.767
1680	1	-137.54
1690	1	-135.969
1700	1	-139.517
1710	1	-135.037
1720	1	-138.11
1730	1	-134.802
1740	1	-139.788
1750	1	-135.966
1760	1	-135.418
1770	1	-134.63
1780	1	-138.099
1790	1	-135.35
1800	1	-136.668
1810	1	-135.235
1820	1	-134.967
1830	1	-135.11
1840	1	-134.548
1850	1	-138.006
1860	1	-136.978
1870	1	-135.634
1880	1	-135.075
1890	1	-135.326
1900	1	-139.616
1910	1	-137.492
1920	1	-135.694
1930	1	-134.436
1940	1	-139.474
1950	1	-134.784
1960	1	-136.637
1970	1	-135.189
1980	1	-136.956
1990	1	-134.865
2000	1	-137.856
2010	1	-135.404
2020	1	-136.137
2030	1	-134.629
2040	1	-136.03
2050	1	-136.407
2060	1	-137.887
2070	1	-136.453
2080	1	-134.691
2090	1	-135.889
2100	1	-136.367
2110	1	-136.513
2120	1	-134.272
2130	1	-135.991
2140	1	-138.176
2150	1	-139.029
2160	1	-135.841
2170	1	-136.424
2180	1	-135.905
2190	1	-136.264
2200	1	-135.518
2210	1	-138.135
2220	1	-135.547
2230	1	-137.162
2240	1	-136.195
2250	1	-134.488
2260	1	-135.693
2270	1	-141.704
2280	1	-135.655
2290	1	-136.776
2300	1	-135.897
2310	1	-134.859
2320	1	-135.847
