Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
0	0	-121.6219	-123.2463	1.624402	0.1945932	0.01473372	0.3065081
1	1	-151.9231	-154.9077	2.984593	0.04815912	0.1654631	0.1353881
2	0	-101.6462	-106.1965	4.550341	0.002575301	0.00110036	0.1312784
3	1	-100.0626	-105.1702	5.107681	0.007062117	0.0008371395	0.07437363
4	0	-102.7455	-107.7251	4.979601	0.001992235	0.01313204	0.0862281
5	1	-100.4879	-105.4665	4.978671	0.0004079321	0.005270839	0.0878067
6	0	-101.2441	-106.0062	4.762056	0.01094941	0.004344592	0.1084093
7	1	-100.6354	-105.353	4.717647	0.00946965	0.001596782	0.1133389
8	0	-100.5962	-105.6207	5.024507	0.002026622	0.005219124	0.08313144
9	1	-101.5191	-106.4209	4.901799	0.02257445	0.00355888	0.09069468
10	0	-101.5293	-106.248	4.718773	0.01930942	0.003826584	0.1103186
11	1	-100.9385	-105.905	4.966587	0.001329389	0.006688763	0.08883804
12	0	-101.8859	-106.475	4.589095	0.02994771	0.002471104	0.1185187
13	1	-103.5899	-108.3585	4.768607	0.03391324	0.007978248	0.09760416
14	0	-105.797	-110.566	4.769053	0.0008447678	0.02299358	0.1039226
15	1	-102.9193	-107.4852	4.56587	0.01292995	0.006245877	0.1276385
16	0	-107.5839	-112.6276	5.043671	0.03534957	0.01394999	0.06716339
17	1	-104.1206	-108.7411	4.620498	0.007895573	0.01228008	0.1219681
18	0	-100.0894	-105.1985	5.109073	0.002732337	0.002310525	0.07462131
19	1	-101.947	-106.9525	5.005532	0.02768782	0.001377588	0.07781238
20	0	-101.2102	-105.9838	4.773638	0.02146014	0.002859825	0.104039
21	1	-101.8252	-106.4523	4.62709	0.028612	0.002807115	0.1153838
22	0	-99.54568	-104.5594	5.013709	0.0006046523	0.001777997	0.08451025
23	1	-100.7931	-105.5076	4.714493	0.01165144	0.001933279	0.1131856
24	0	-99.43147	-104.401	4.9695	0.002408437	0.0009729284	0.08894404
25	1	-101.2393	-106.197	4.957665	0.01865517	0.003319298	0.0866445
26	0	-101.4679	-106.0938	4.625886	0.01810746	0.002334199	0.1202356
27	1	-100.2653	-105.2027	4.937433	0.002988761	0.003782835	0.09200134
28	0	-105.8333	-110.1758	4.342469	0.06038139	0.009125134	0.1199383
29	1	-100.4804	-105.6656	5.185244	0.004460909	0.001254846	0.0664383
30	0	-100.0353	-104.8879	4.852577	0.005686559	0.001831516	0.1003719
31	1	-99.54375	-104.4856	4.941838	0.004753195	0.0008352794	0.09155891
32	0	-100.0641	-104.9222	4.85812	0.003373939	0.002341762	0.1000054
33	1	-102.6045	-107.5853	4.980878	0.006147498	0.01153717	0.08614955
34	0	-101.4744	-106.0973	4.622855	0.01840222	0.002288437	0.1204401
35	1	-101.0157	-105.9016	4.88591	0.01444807	0.003936905	0.09517223
36	0	-99.81166	-104.6809	4.869245	0.001071863	0.001898426	0.09901391
37	1	-103.234	-107.6616	4.427615	0.03777861	0.004334642	0.130058
38	0	-101.8333	-106.6531	4.819806	0.02187491	0.005069456	0.09907459
39	1	-99.56284	-104.4767	4.913874	0.005194799	0.0007024224	0.09432096
40	0	-103.8096	-108.5397	4.730021	0.03691905	0.008004766	0.09956726
41	1	-100.5198	-105.674	5.154159	0.001623185	0.003304252	0.06986347
42	0	-99.57615	-104.502	4.925877	0.001994793	0.001404922	0.0933336
43	1	-99.99279	-104.9734	4.980583	0.01322873	0.0003608074	0.08614232
44	0	-100.8702	-105.8693	4.999097	0.007280376	0.00496624	0.08524148
45	1	-100.5757	-105.6148	5.039103	0.007092373	0.003671782	0.08131413
46	0	-101.4243	-106.2769	4.852604	0.03101428	0.0009858815	0.0915211
