Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
0	0	-80861.44	-108.8849	-80752.55	0	0	0	0	0	0	0	0	0
1	1	-10806.15	-107.9912	-10698.15	0	0	0	0	0	0	0	0	0
2	0	-89.29338	-104.4148	15.12144	0	0	0	0	0	0	0	0	0
3	1	-101.1363	-97.50953	-3.626772	0	0	0	0	0	0	0	0	0
4	0	-96.55776	-100.4109	3.853143	0	0	0	0	0	0	0	0	0
5	1	-90.29015	-100.5672	10.27707	0	0	0	0	0	0	0	0	0
6	0	-85.36421	-100.4031	15.03884	0	0	0	0	0	0	0	0	0
7	1	-129.9057	-100.4641	-29.44166	0	0	0	0	0	0	0	0	0
8	0	-80.40033	-104.6143	24.21401	0	0	0	0	0	0	0	0	0
9	1	-101.8105	-97.76324	-4.047255	0.899574	0	0	0	0	0	0	0	0
10	0	-56.93451	-105.1452	48.21072	0	0	0	0	0	0	0	0	0
11	1	-114.5799	-100.5923	-13.9876	0	0	0	0	0	0	0	0	0
12	0	-77.22463	-107.3022	30.0776	0	0	0	0	0	0	0	0	0
13	1	-60.63401	-100.7972	40.16317	0	0	0	0	0	0	0	0	0
14	0	-88.80462	-99.75734	10.95271	0	0	0	0	0	0	0	0	0
15	1	-51.50849	-101.3195	49.81101	0	0	0	0	0	0	0	0	0
16	0	-109.6155	-101.7851	-7.830337	0	0	0	0	0	0	0	0	0
17	1	-59.13239	-100.7652	41.63284	0	0	0	0	0	0	0	0	0
18	0	-126.5361	-97.66928	-28.86677	0	0	0	0	0	0	0	0	0
19	1	-66.50649	-105.649	39.14256	0	0	0	0	0	0	0	0	0
20	0	-118.9436	-99.56867	-19.3749	0	0	0	0	0	0	0	0	0
21	1	-51.12198	-100.56	49.43798	0	0	0	0	0	0	0	0	0
22	0	-109.4043	-101.1273	-8.276991	0	0	0	0	0	0	0	0	0
