Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
0	-17116.06	-17123.84	7.785615	0.13105	0.133549	-2.03218	-2.01329	-0.800571	-1.02796	0.001431998	0.00084744	0.107775	0.892225	0.449072	0.357737
1	-17030.75	-17038.05	7.300668	0.124124	0.108862	-2.08647	-2.21767	-0.650767	-0.910969	0.0008409909	0.0005178641	0.107775	0.892225	0.521646	0.402134
2	-17027.95	-17035.3	7.344182	0.127266	0.102021	-2.06148	-2.28257	-0.61198	-0.910969	0.0005321316	0.0003728218	0.107775	0.892225	0.542276	0.402134
3	-16979.79	-16986.7	6.90697	0.127266	0.102021	-2.06148	-2.28257	-0.646307	-0.736553	0.0007629289	0.0003730842	0.107775	0.892225	0.523977	0.478761
4	-16977.36	-16984.13	6.768638	0.135544	0.099786	-1.99846	-2.30473	-0.616086	-0.736553	0.0007629289	0.0005200337	0.479097	0.520903	0.540054	0.478761
5	-16970.02	-16976.53	6.517062	0.140582	0.0999915	-1.96196	-2.30267	-0.645315	-0.633636	0.001030306	0.000422478	0.479097	0.520903	0.524497	0.530659
6	-16965.13	-16971.86	6.730025	0.168562	0.114143	-1.78045	-2.17031	-0.666815	-0.63925	0.001491615	0.000356446	0.479097	0.520903	0.513341	0.527688
7	-16953.98	-16960.69	6.711512	0.211109	0.118188	-1.55538	-2.13548	-0.530429	-0.640656	0.0009559649	0.0002736948	0.479097	0.520903	0.588352	0.526947
8	-16952.46	-16959.11	6.651909	0.215962	0.129058	-1.53265	-2.04749	-0.530429	-0.640656	0.001306819	0.0002367541	0.223767	0.776233	0.588352	0.526947
9	-16949.55	-16956.56	7.017129	0.218892	0.142935	-1.51918	-1.94536	-0.545043	-0.640656	0.0008136139	0.000315009	0.344735	0.655265	0.579817	0.526947
10	-16950.67	-16957.44	6.769414	0.218892	0.132943	-1.51918	-2.01783	-0.545043	-0.587827	0.0008136139	0.0003515296	0.344735	0.655265	0.579817	0.555533
11	-16951.26	-16957.73	6.468945	0.223663	0.129773	-1.49761	-2.04197	-0.497584	-0.613552	0.0009763068	0.0005444649	0.66474	0.33526	0.607998	0.541424
12	-16949.76	-16956.4	6.635509	0.223663	0.132258	-1.49761	-2.023	-0.522221	-0.612858	0.0008510974	0.0005444649	0.66474	0.33526	0.593201	0.5418
13	-16945.91	-16952.12	6.217373	0.256196	0.134624	-1.36181	-2.00527	-0.522221	-0.588652	0.001376449	0.0005444649	0.66474	0.33526	0.593201	0.555075
14	-16937.88	-16944.11	6.226977	0.299847	0.165773	-1.20448	-1.79714	-0.529094	-0.588652	0.001376449	0.0005444649	0.66474	0.33526	0.589138	0.555075
15	-16936.83	-16942.72	5.884945	0.282965	0.176921	-1.26243	-1.73205	-0.450734	-0.581365	0.001357844	0.0008435397	0.66474	0.33526	0.63716	0.559135
16	-16930.58	-16936.51	5.931656	0.3432	0.176921	-1.06944	-1.73205	-0.468332	-0.581365	0.0009500958	0.0007688603	0.66474	0.33526	0.626046	0.559135
17	-16929.22	-16935.31	6.088945	0.369247	0.18529	-0.99629	-1.68584	-0.468332	-0.590274	0.0006980301	0.0005450208	0.66474	0.33526	0.626046	0.554175
18	-16923.83	-16929.52	5.693333	0.361271	0.199297	-1.01813	-1.61296	-0.377219	-0.531806	0.0004983199	0.0006110066	0.808742	0.191258	0.685766	0.587543
19	-16921.97	-16927.53	5.567129	0.37169	0.201326	-0.989695	-1.60283	-0.37558	-0.531806	0.0007112372	0.0005228273	0.808742	0.191258	0.686891	0.587543
20	-16920.22	-16925.83	5.614917	0.420744	0.201326	-0.865731	-1.60283	-0.407265	-0.531806	0.0004998574	0.0003733751	0.949883	0.0501171	0.665468	0.587543
21	-16917.42	-16923.1	5.673457	0.415192	0.201326	-0.879015	-1.60283	-0.364071	-0.544913	0.0003699637	0.0002301933	0.949883	0.0501171	0.694842	0.579892
22	-16915.73	-16921.06	5.326669	0.465856	0.208902	-0.763878	-1.56589	-0.355385	-0.545543	0.0003652441	0.0002994231	0.941943	0.0580566	0.700904	0.579527
23	-16914.38	-16919.39	5.007538	0.490218	0.208902	-0.712904	-1.56589	-0.333472	-0.545543	0.0005858958	0.0002718025	0.941943	0.0580566	0.716432	0.579527
24	-16914.98	-16920.28	5.295709	0.455948	0.206794	-0.785376	-1.57603	-0.336684	-0.548253	0.0004345891	0.0002786155	0.633142	0.366858	0.714134	0.577959
25	-16911.99	-16916.85	4.862151	0.50378	0.215854	-0.685615	-1.53315	-0.290502	-0.543024	0.0002867026	0.0003571339	0.633142	0.366858	0.747888	0.580989
26	-16911.14	-16915.35	4.213594	0.579828	0.217576	-0.545023	-1.52521	-0.239809	-0.543024	0.0003289759	0.0003571339	0.285494	0.714506	0.786778	0.580989
27	-16909.07	-16913.3	4.228887	0.564059	0.217576	-0.572596	-1.52521	-0.23817	-0.512213	0.0003289759	0.0002910253	0.769454	0.230546	0.788069	0.599168
28	-16902.3	-16906.03	3.730388	0.564059	0.285774	-0.572596	-1.25255	-0.23817	-0.452343	0.0003535394	0.0004408707	0.769454	0.230546	0.788069	0.636136
29	-16902.38	-16905.11	2.720721	0.677972	0.285358	-0.388649	-1.25401	-0.156268	-0.46709	0.0005413709	0.0004344901	0.769454	0.230546	0.85533	0.626824
30	-16901	-16903.42	2.420864	0.679325	0.293747	-0.386656	-1.22504	-0.103259	-0.477555	0.0004396417	0.0006512402	0.769454	0.230546	0.901893	0.620298
31	-16903.1	-16905.38	2.27615	0.679325	0.330746	-0.386656	-1.10641	-0.103259	-0.477555	0.000483321	0.0005682392	0.381219	0.618781	0.901893	0.620298
32	-16903.37	-16905.89	2.516805	0.638901	0.330746	-0.448006	-1.10641	-0.120934	-0.477555	0.0005903675	0.0005682392	0.731582	0.268418	0.886092	0.620298
33	-16899.58	-16901.9	2.315144	0.638901	0.330746	-0.448006	-1.10641	-0.137717	-0.445183	0.0009007217	0.0005682392	0.424078	0.575922	0.871345	0.640707
34	-16895.94	-16897.63	1.690982	0.638901	0.385157	-0.448006	-0.954105	-0.137717	-0.373115	0.001077013	0.0005682392	0.436421	0.563579	0.871345	0.688586
35	-16895.12	-16897.07	1.953737	0.638934	0.385157	-0.447954	-0.954105	-0.137717	-0.373115	0.0006972197	0.0004511636	0.476466	0.523534	0.871345	0.688586
36	-16894.83	-16896.86	2.028416	0.644904	0.387763	-0.438653	-0.94736	-0.137717	-0.373115	0.0005263424	0.000393875	0.476466	0.523534	0.871345	0.688586
37	-16894.7	-16896.63	1.933049	0.644904	0.387763	-0.438653	-0.94736	-0.137717	-0.373115	0.000763053	0.0003373783	0.476466	0.523534	0.871345	0.688586
38	-16894.34	-16895.41	1.076456	0.740178	0.387763	-0.300865	-0.94736	-0.0547819	-0.373115	0.000763053	0.0002876987	0.760325	0.239675	0.946692	0.688586
39	-16896.01	-16897.18	1.170622	0.740178	0.364936	-0.300865	-1.00803	-0.0574459	-0.359134	0.0004030852	0.0006172974	0.711514	0.288486	0.944173	0.698281
40	-16896.43	-16897.8	1.363791	0.689004	0.396343	-0.372508	-0.925475	-0.072102	-0.359134	0.0004012405	0.0005876754	0.335831	0.664169	0.930436	0.698281
41	-16895.4	-16896.95	1.54735	0.68439	0.388386	-0.379227	-0.945754	-0.0854525	-0.359134	0.000425128	0.0004573972	0.335831	0.664169	0.918097	0.698281
42	-16894.99	-16896.59	1.604238	0.68168	0.396469	-0.383195	-0.925157	-0.0854525	-0.35323	0.0003647169	0.0003157895	0.335831	0.664169	0.918097	0.702415
43	-16894.89	-16896.42	1.526429	0.693508	0.384338	-0.365993	-0.956234	-0.0680987	-0.35323	0.0003628528	0.0003157895	0.879027	0.120973	0.934168	0.702415
44	-16894.92	-16896.37	1.453503	0.707543	0.378773	-0.345957	-0.970819	-0.0680987	-0.341223	0.000335264	0.0003086262	0.879027	0.120973	0.934168	0.7109
45	-16893.58	-16894.92	1.345281	0.735166	0.395693	-0.307659	-0.927118	-0.0621702	-0.361062	0.0003022927	0.0001915177	0.879027	0.120973	0.939723	0.696936
46	-16893.58	-16894.91	1.322469	0.735166	0.405405	-0.307659	-0.902869	-0.0648715	-0.358846	0.0002912486	0.0001562511	0.879027	0.120973	0.937188	0.698482
47	-16895.16	-16895.66	0.499931	0.77231	0.41159	-0.25837	-0.887727	-0.0226057	-0.358846	0.0009622174	0.0002378834	0.563368	0.436632	0.977648	0.698482
48	-16897.36	-16897.65	0.2973195	0.768448	0.428646	-0.263382	-0.847123	-0.0226057	-0.358846	0.0009622174	0.0004854232	0.462671	0.537329	0.977648	0.698482
49	-16896.49	-16896.93	0.4412526	0.768448	0.402713	-0.263382	-0.90953	-0.0157996	-0.36473	0.0009622174	0.0004569403	0.42834	0.57166	0.984325	0.694384
50	-16896.69	-16897.68	0.9906106	0.768448	0.369051	-0.263382	-0.99682	-0.0580687	-0.362911	0.0006158332	0.0004569403	0.42834	0.57166	0.943585	0.695648
51	-16896.94	-16897.33	0.3962208	0.768448	0.395333	-0.263382	-0.928028	-0.0580687	-0.341205	0.00107816	0.000705899	0.413219	0.586781	0.943585	0.710913
52	-16897.9	-16898.04	0.1386471	0.768448	0.395333	-0.263382	-0.928028	-0.0580687	-0.358593	0.001658206	0.00073612	0.745155	0.254845	0.943585	0.698659
53	-16902.44	-16901.87	-0.5658295	0.739864	0.395333	-0.301288	-0.928028	-0.0669079	-0.365038	0.00297802	0.001152973	0.35939	0.64061	0.935281	0.69417
54	-16899.04	-16898.76	-0.2823988	0.718527	0.429456	-0.330552	-0.845236	-0.0871589	-0.328865	0.002176142	0.001204325	0.35939	0.64061	0.916531	0.71974
55	-16903.51	-16902.75	-0.7596023	0.754294	0.430683	-0.281973	-0.842383	0.0104351	-0.331402	0.001887065	0.001184292	0.35939	0.64061	1.01049	0.717916
56	-16900.4	-16899.58	-0.8225952	0.745481	0.423923	-0.293725	-0.858202	-0.048906	-0.331402	0.002215729	0.001660254	0.509189	0.490811	0.952271	0.717916
57	-16903.82	-16903.1	-0.7180133	0.734861	0.428326	-0.308074	-0.847871	-0.106308	-0.331402	0.002215729	0.002016908	0.509189	0.490811	0.899148	0.717916
58	-16902.39	-16900.95	-1.441749	0.749728	0.433208	-0.288045	-0.836538	-0.0396703	-0.309205	0.002215729	0.002450807	0.558687	0.441313	0.961106	0.73403
59	-16899.89	-16898.9	-0.9925686	0.749728	0.434417	-0.288045	-0.833751	-0.0423711	-0.309205	0.001514108	0.002314976	0.803347	0.196653	0.958514	0.73403
60	-16900	-16898.8	-1.206503	0.770487	0.446478	-0.260732	-0.806365	-0.0423711	-0.299026	0.001514108	0.002314976	0.803347	0.196653	0.958514	0.74154
61	-16896.68	-16896.36	-0.3221453	0.770487	0.429776	-0.260732	-0.844491	-0.0237639	-0.316768	0.0008346406	0.001460502	0.803347	0.196653	0.976516	0.7285
62	-16896.75	-16896.19	-0.5614639	0.770487	0.447196	-0.260732	-0.804758	-0.024582	-0.278758	0.0008342734	0.001460502	0.803347	0.196653	0.975718	0.756723
63	-16896.05	-16896.22	0.1689933	0.714115	0.447196	-0.336712	-0.804758	-0.0945004	-0.278758	0.0006229661	0.001460502	0.803347	0.196653	0.909827	0.756723
64	-16895.4	-16895.38	-0.01498969	0.714115	0.469429	-0.336712	-0.756238	-0.0779289	-0.278758	0.0006229661	0.001436214	0.803347	0.196653	0.92503	0.756723
65	-16894.98	-16894.96	-0.02500065	0.733147	0.472191	-0.31041	-0.750371	-0.0779289	-0.267754	0.0006044676	0.001171448	0.704431	0.295569	0.92503	0.765096
66	-16895.39	-16896.05	0.6577903	0.678163	0.463101	-0.388368	-0.769809	-0.137239	-0.275862	0.0005396903	0.001155624	0.663978	0.336022	0.871762	0.758918
67	-16894.86	-16895.77	0.9107284	0.681656	0.446843	-0.383229	-0.805547	-0.137239	-0.275862	0.0006312509	0.0007188138	0.663978	0.336022	0.871762	0.758918
68	-16894.93	-16895.81	0.880286	0.72279	0.416232	-0.324636	-0.876513	-0.0851495	-0.345515	0.0005991545	0.0007783998	0.663978	0.336022	0.918375	0.707856
69	-16893.66	-16894.86	1.201589	0.710589	0.397044	-0.341662	-0.923708	-0.0851495	-0.339607	0.0005991545	0.0004446318	0.702075	0.297925	0.918375	0.71205
70	-16894.12	-16895.4	1.282053	0.728395	0.379206	-0.316912	-0.969676	-0.0749922	-0.361581	0.0006367441	0.0003215602	0.702075	0.297925	0.927751	0.696574
71	-16895.26	-16896.24	0.9834185	0.744422	0.379206	-0.295147	-0.969676	-0.03056	-0.367712	0.0006958577	0.0003220002	0.702075	0.297925	0.969902	0.692317
72	-16896.92	-16897.41	0.4878887	0.803909	0.379206	-0.218269	-0.969676	-0.03056	-0.367712	0.001153494	0.0002153363	0.628073	0.371927	0.969902	0.692317
73	-16895.15	-16895.87	0.7279138	0.779073	0.375322	-0.249651	-0.979972	-0.00770619	-0.351773	0.0007034205	0.000176482	0.912498	0.0875016	0.992323	0.70344
74	-16897.61	-16898.64	1.029924	0.786646	0.375322	-0.239977	-0.979972	-0.0654396	-0.351773	0.0005668461	0.0001772963	0.912498	0.0875016	0.936656	0.70344
75	-16893.52	-16894.68	1.159009	0.717421	0.408676	-0.332093	-0.894832	-0.0654396	-0.351773	0.000805443	5.049231e-05	0.417439	0.582561	0.936656	0.70344
76	-16895.31	-16896.72	1.412294	0.717421	0.405936	-0.332093	-0.90156	-0.118005	-0.351773	0.000805443	4.724154e-05	0.417439	0.582561	0.888692	0.70344
