Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
0	0	-151.3694	-212.7619	61.39245	0.367879	0.368139	0.367637	0.367475	0.367422	0.367439	0.367417	0.367789	0.367361	0.367003
1	1	-118.0343	-207.4832	89.44895	0.367879	0.368044	0.367581	0.367545	0.367593	0.367688	0.367644	0.367682	0.367692	0.367535
2	0	-104.0163	-128.4471	24.43079	0.974511	0.985912	0.96058	0.92264	0.916548	1.02737	0.909197	0.865309	0.876153	0.855217
3	1	-99.96306	-126.6853	26.72226	0.982948	0.980193	0.979157	0.967067	0.967024	0.965469	0.971011	0.975406	0.982984	0.985715
4	0	-115.3907	-127.95	12.55924	0.97253	0.986688	0.960962	0.948668	0.951044	0.792658	0.865802	0.865977	0.878087	0.842102
5	1	-113.2446	-125.1906	11.94596	0.932572	0.927038	0.924661	0.903197	0.919861	0.919727	0.922471	0.915807	0.921736	0.919711
6	0	-130.5425	-123.4508	-7.091735	0.997047	1.30864	0.997618	1.01238	1.01273	1.01692	1.30659	1.32672	1.3231	1.3081
7	1	-87.90843	-123.4742	35.56579	0.994621	0.996501	0.997337	0.997352	0.995613	0.996127	0.995735	0.996778	0.989344	0.991152
8	0	-122.253	-119.2376	-3.015432	0.972091	1.21821	1.21396	1.21535	1.32421	1.32917	1.20998	1.18527	1.21066	1.20545
9	1	-101.0876	-121.1846	20.09694	0.999177	1.0138	1.00083	0.993671	0.989958	0.989473	1.02694	0.997834	0.977689	0.986314
10	0	-136.5184	-119.3739	-17.14456	0.987913	1.05223	1.03629	0.971644	0.812126	0.810143	0.816961	0.443892	0.746905	0.742681
11	1	-119.1262	-124.4866	5.360338	0.929406	0.90676	0.892409	0.848174	0.877855	0.948847	0.711072	0.703362	0.703394	0.669112
12	0	-128.294	-118.9198	-9.374201	0.965118	0.965099	0.966403	0.972408	0.97278	1.3	1.30271	1.33397	1.33121	1.3257
13	1	-139.4762	-120.1796	-19.2966	0.956084	0.938617	1.10351	0.584939	0.594394	0.553576	0.393196	0.378613	0.38166	0.386664
14	0	-130.6827	-115.991	-14.69175	0.983531	0.984273	0.975679	0.973355	0.968402	0.965065	0.969962	0.97024	0.969715	0.977224
15	1	-131.0821	-116.8491	-14.23299	0.981733	0.972363	1.0118	0.236612	0.229025	0.229912	0.22508	0.225604	0.227244	0.231734
16	0	-120.8691	-115.2308	-5.638229	0.979328	0.978931	0.980267	0.984367	0.974543	0.944576	0.94071	0.924761	0.918341	0.922418
