Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
0	0	-151.3694	-212.7619	61.39245	1	1.01084	0.999871	1.00234	1.0424	1.08905	1.08895	1.09283	1.07963	1.07569
1	1	-118.0343	-207.4832	89.44895	1	1.0006	0.999189	0.999057	0.999812	1.00453	1.00483	1.0052	1.00767	1.00854
2	0	-104.0163	-128.4471	24.43079	1	0.999831	0.99689	0.997483	1.01241	1.013	1.0124	1.01338	1.0137	1.03885
3	1	-99.96306	-126.6853	26.72226	1	0.98163	0.984532	0.948931	0.929566	0.952427	0.956607	1.5463	1.54598	1.35098
4	0	-115.3907	-127.95	12.55924	1	0.999912	1.00152	1.01283	0.963643	0.999445	0.998225	0.993778	1.00263	1.00003
5	1	-113.2446	-125.1906	11.94596	1	0.869217	0.82859	0.820247	0.817859	0.834301	1.46001	1.46634	1.43798	1.4464
6	0	-130.5425	-123.4508	-7.091735	1	0.996966	1.00584	1.00455	1.25395	1.36578	1.36402	1.33964	1.34086	1.24493
7	1	-87.90843	-123.4742	35.56579	1	0.835172	0.834143	0.834501	0.834757	1.29899	1.29949	1.29807	1.30074	1.28929
8	0	-122.253	-119.2376	-3.015432	1	0.839321	0.835043	1.55444	1.56692	1.56392	1.58492	1.61204	1.52423	1.53964
9	1	-101.0876	-121.1846	20.09694	1	0.789948	0.784083	0.784056	1.24896	1.24838	1.24858	1.2621	1.26175	1.25322
10	0	-136.5184	-119.3739	-17.14456	1	0.763308	0.872374	0.992416	0.989269	0.980993	1.04293	1.05235	1.04409	1.0285
11	1	-119.1262	-124.4866	5.360338	1	0.830986	0.831116	0.830297	0.828364	1.06194	1.05101	1.05484	1.05433	1.05785
12	0	-128.294	-118.9198	-9.374201	1	0.408091	0.249837	1.3583	1.32499	1.32402	1.32167	1.32895	1.22459	1.28464
13	1	-139.4762	-120.1796	-19.2966	1	0.647871	0.662744	0.732577	0.737958	0.782382	0.780424	0.836395	0.868648	0.84106
14	0	-130.6827	-115.991	-14.69175	1	0.225397	0.181458	1.26933	1.26754	1.21985	1.37779	1.40513	1.45028	1.49531
15	1	-131.0821	-116.8491	-14.23299	1	0.434747	0.719572	0.634952	0.642047	0.614254	0.608675	0.623544	0.620998	0.611889
16	0	-120.8691	-115.2308	-5.638229	1	0.471487	0.454078	1.21971	1.20397	1.09249	1.05572	1.62166	1.3158	1.3277
17	1	-168.9281	-114.9821	-53.94606	1	0.175559	0.178502	0.178804	0.176476	0.175774	0.180796	0.186609	0.180132	0.180414
18	0	-149.4211	-115.2399	-34.18118	1	0.0867689	0.0887915	0.909801	0.966379	0.852147	0.798672	0.921726	0.988125	1.41133
19	1	-156.3699	-114.7079	-41.66201	1	0.254389	0.252382	0.328958	0.379496	0.275905	0.285877	0.314757	0.30861	0.285751
20	0	-127.8747	-118.3945	-9.480234	1	0.236705	0.875066	0.891466	0.866912	0.856805	1.23354	1.18494	1.54765	1.52024
21	1	-170.9827	-115.1691	-55.81357	1	0.479169	0.438027	0.403833	0.39586	0.355347	0.326144	0.311401	0.293021	0.26297
22	0	-126.1347	-114.642	-11.49271	1	0.328769	0.38226	1.30064	1.28692	1.28246	1.29441	1.48017	1.47799	1.70244
23	1	-180.8197	-115.329	-65.49063	1	0.130653	0.130049	0.129608	0.126483	0.147233	0.206463	0.206459	0.219158	0.215026
24	0	-98.92101	-116.2823	17.36127	1	0.444447	1.02103	1.09263	1.09529	1.20944	1.24981	1.2502	1.19014	1.17387
25	1	-185.5777	-116.0499	-69.52783	1	0.184487	0.208923	0.206184	0.267123	0.272187	0.263599	0.375516	0.38604	0.0982659
26	0	-125.0241	-119.1253	-5.898825	1	0.264611	0.780347	0.82027	0.834313	0.84254	0.92206	0.925022	0.902992	0.876059
27	1	-175.7389	-115.0811	-60.65774	1	0.471104	0.477727	0.491262	0.26237	0.209099	0.23793	0.217751	0.219463	0.207479
28	0	-131.9508	-114.9463	-17.00449	1	0.290263	0.281164	1.46037	1.43002	1.35387	1.31889	1.34592	0.810177	0.718397
