Iteration	Posterior	Likelihood	Prior	birth_rate
0	-9202.859	-9198.254	-4.60517	36.90975
10	-149.9014	-145.2962	-4.60517	0.3799363
20	-108.5558	-103.9506	-4.60517	0.0923388
30	-109.9541	-105.3489	-4.60517	0.0608883
40	-109.4162	-104.811	-4.60517	0.1163661
50	-108.9578	-104.3527	-4.60517	0.1074272
60	-108.6825	-104.0774	-4.60517	0.07946055
70	-108.6255	-104.0204	-4.60517	0.09707707
80	-108.7018	-104.0967	-4.60517	0.07884444
90	-108.7185	-104.1133	-4.60517	0.1008113
100	-108.76	-104.1548	-4.60517	0.1021657
110	-108.5697	-103.9645	-4.60517	0.0847289
120	-109.1011	-104.496	-4.60517	0.110546
130	-109.1189	-104.5137	-4.60517	0.1109071
140	-108.7149	-104.1098	-4.60517	0.0784492
150	-108.8911	-104.2859	-4.60517	0.07421914
160	-108.9002	-104.295	-4.60517	0.07403895
170	-108.8468	-104.2416	-4.60517	0.1046632
180	-112.9895	-108.3843	-4.60517	0.04358502
190	-108.7047	-104.0996	-4.60517	0.1003305
200	-108.8487	-104.2435	-4.60517	0.1047137
210	-108.7867	-104.1816	-4.60517	0.07652464
220	-108.7155	-104.1103	-4.60517	0.07843298
230	-108.5494	-103.9442	-4.60517	0.09150192
240	-108.5665	-103.9614	-4.60517	0.08497787
250	-108.5428	-103.9376	-4.60517	0.09003775
260	-111.659	-107.0538	-4.60517	0.04959437
270	-108.5417	-103.9366	-4.60517	0.0893905
280	-108.7563	-104.1512	-4.60517	0.07729566
290	-108.9675	-104.3623	-4.60517	0.1076504
300	-110.4866	-105.8815	-4.60517	0.1314573
310	-108.6182	-104.0131	-4.60517	0.08193186
320	-108.6887	-104.0835	-4.60517	0.09974508
330	-108.8888	-104.2836	-4.60517	0.07426647
340	-108.9309	-104.3258	-4.60517	0.1067919
350	-109.3798	-104.7746	-4.60517	0.06676844
360	-109.598	-104.9929	-4.60517	0.06430656
370	-108.5426	-103.9374	-4.60517	0.08830446
380	-108.6001	-103.995	-4.60517	0.09573681
390	-108.5421	-103.9369	-4.60517	0.08967455
400	-109.5016	-104.8964	-4.60517	0.1177806
410	-108.8838	-104.2786	-4.60517	0.0743667
420	-108.5469	-103.9417	-4.60517	0.08720419
430	-109.6443	-105.0391	-4.60517	0.06382587
440	-108.6863	-104.0811	-4.60517	0.07933784
450	-108.6501	-104.045	-4.60517	0.098202
460	-108.542	-103.9368	-4.60517	0.08964544
470	-110.0288	-105.4236	-4.60517	0.06024233
480	-108.8693	-104.2641	-4.60517	0.07466516
490	-108.6798	-104.0747	-4.60517	0.09940865
500	-108.551	-103.9458	-4.60517	0.08657423
510	-108.7509	-104.1457	-4.60517	0.1018792
520	-109.2185	-104.6134	-4.60517	0.1128479
530	-110.2251	-105.6199	-4.60517	0.1281695
540	-109.6503	-105.0451	-4.60517	0.06376462
550	-108.648	-104.0428	-4.60517	0.08069006
560	-110.259	-105.6538	-4.60517	0.1286068
570	-108.5481	-103.9429	-4.60517	0.09128988
580	-108.5987	-103.9935	-4.60517	0.09565333
590	-109.2194	-104.6143	-4.60517	0.1128646
600	-109.0347	-104.4296	-4.60517	0.1091512
610	-108.5732	-103.968	-4.60517	0.09395208
620	-108.5975	-103.9924	-4.60517	0.08295606
630	-109.1563	-104.5511	-4.60517	0.06972843
640	-108.9742	-104.369	-4.60517	0.07264963
650	-108.8536	-104.2485	-4.60517	0.1048457
660	-111.0618	-106.4566	-4.60517	0.1381385
670	-108.7171	-104.112	-4.60517	0.07838402
680	-108.542	-103.9368	-4.60517	0.08862533
690	-108.5906	-103.9855	-4.60517	0.08334203
700	-108.7026	-104.0974	-4.60517	0.07882129
710	-108.5448	-103.9396	-4.60517	0.08763179
720	-108.558	-103.9528	-4.60517	0.09258114
730	-108.5426	-103.9375	-4.60517	0.08828551
740	-108.5488	-103.9436	-4.60517	0.09139857
750	-109.6036	-104.9984	-4.60517	0.119403
760	-108.8661	-104.2609	-4.60517	0.07473291
770	-110.1799	-105.5747	-4.60517	0.05899632
780	-108.8018	-104.1966	-4.60517	0.07616232
790	-108.6044	-103.9993	-4.60517	0.09598052
800	-109.1116	-104.5064	-4.60517	0.07039297
810	-108.5991	-103.994	-4.60517	0.09567787
820	-109.3508	-104.7456	-4.60517	0.1152434
830	-108.5578	-103.9527	-4.60517	0.08577013
840	-108.8208	-104.2156	-4.60517	0.07572104
850	-108.5453	-103.9402	-4.60517	0.09075906
860	-109.554	-104.9489	-4.60517	0.1186234
870	-108.9625	-104.3573	-4.60517	0.07285975
880	-108.5474	-103.9423	-4.60517	0.08710969
890	-109.4944	-104.8892	-4.60517	0.06543287
