Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-17000.53	-17013.06	12.52762	0.0398579	0.0398579	0.0734482	0.0734482	0.703544	1.29646	0.4531271	0.736659	1.35748	0.056653	0.056653	0.003597638	0.00359764	0.00359764	0.324186	0.332626	0.322676	0.020512	0.426884	0.426884	0.706176	0.706176	0.753507	1.24649	0.3731353	0.777497	1.28618	0.56653	0.56653	0.00105378	0.000941662
1	-16978.25	-16990.58	12.33226	0.0557348	0.0434773	0.119853	0.0934944	0.634836	1.36516	0.5675865	0.681928	1.46643	0.087794	0.0684859	0.002822123	0.00282212	0.00282212	0.324186	0.332626	0.322676	0.020512	0.389546	0.446848	0.598214	0.686212	0.788746	1.21125	0.3179942	0.806958	1.23922	0.49388	0.56653	0.00116119	0.000861238
2	-16965.07	-16975.81	10.73474	0.079404	0.0716968	0.158844	0.143426	0.666567	1.33343	0.5139972	0.707027	1.41437	0.119124	0.107561	0.005063775	0.00506377	0.00506377	0.395486	0.405783	0.180256	0.0184751	0.41053	0.47092	0.577229	0.662141	0.831235	1.16876	0.252628	0.843332	1.18577	0.49388	0.56653	0.00100844	0.000744093
3	-16954.26	-16962.06	7.805826	0.127149	0.083768	0.254356	0.167574	0.666567	1.33343	0.5139972	0.707027	1.41437	0.190753	0.125671	0.008645256	0.00864526	0.00864526	0.395486	0.405783	0.180256	0.0184751	0.359754	0.412674	0.628006	0.720387	0.728424	1.27158	0.4130009	0.756869	1.32123	0.49388	0.56653	0.00114546	0.00086068
4	-16943.16	-16948.07	4.904072	0.17613	0.115636	0.305164	0.200351	0.731902	1.2681	0.4074391	0.759714	1.31629	0.240647	0.157993	0.01372821	0.0137282	0.0137282	0.277768	0.476311	0.223059	0.0228621	0.355413	0.407694	0.632347	0.725366	0.719634	1.28037	0.4271071	0.749702	1.33386	0.49388	0.56653	0.000958718	0.000873713
5	-16928.28	-16929.97	1.688677	0.256204	0.115636	0.4439	0.200351	0.731902	1.2681	0.4074391	0.759714	1.31629	0.350052	0.157993	0.01840846	0.0184085	0.0184085	0.181074	0.552956	0.247165	0.0188048	0.326059	0.496321	0.704714	1.0727	0.63265	1.36735	0.5713305	0.680208	1.47014	0.515386	0.784511	0.000786083	0.000574383
6	-16912.88	-16916.31	3.428335	0.257437	0.166982	0.373823	0.242473	0.81563	1.18437	0.27651	0.829856	1.20503	0.31563	0.204728	0.01487443	0.0148744	0.0148744	0.31421	0.392971	0.279455	0.0133641	0.310516	0.513616	0.720257	1.19136	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.852487	0.000692603	0.000716058
7	-16910.77	-16915.88	5.111213	0.242432	0.154632	0.399513	0.254824	0.755304	1.2447	0.3703002	0.778985	1.28372	0.320972	0.204728	0.01092236	0.0109224	0.0109224	0.298543	0.357393	0.322221	0.0218431	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000823687	0.000894829
8	-16904.91	-16910.65	5.743754	0.246985	0.188105	0.39496	0.300802	0.76949	1.23051	0.3480078	0.790786	1.26456	0.320972	0.244454	0.009549951	0.00954995	0.00954995	0.283014	0.338802	0.30546	0.0727239	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000581874	0.00105033
9	-16904.92	-16910.53	5.604559	0.258681	0.197012	0.383264	0.291895	0.805929	1.19407	0.2914262	0.821549	1.21721	0.320972	0.244454	0.009808992	0.00980899	0.00980899	0.307594	0.295748	0.266643	0.130015	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000480816	0.0013374
10	-16902.51	-16908.99	6.475749	0.2612	0.206438	0.380745	0.30092	0.813778	1.18622	0.2793526	0.828266	1.20734	0.320972	0.253679	0.007949218	0.00794922	0.00794922	0.297259	0.285811	0.257684	0.159245	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000612935	0.00138761
11	-16905.05	-16911.33	6.275582	0.237987	0.188091	0.403958	0.319266	0.741455	1.25855	0.3922206	0.767552	1.30284	0.320972	0.253679	0.007752781	0.00775278	0.00775278	0.31028	0.298331	0.268972	0.122417	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000724255	0.00148789
12	-16905.63	-16911.35	5.714798	0.232586	0.187781	0.387921	0.313193	0.749664	1.25034	0.3792065	0.774319	1.29146	0.310254	0.250487	0.009052994	0.00905299	0.00905299	0.291867	0.280627	0.25301	0.174497	0.310516	0.549802	0.720257	1.27529	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.912548	0.000860799	0.00124082
