Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	-45.24683	-46.03178	0.784943	0.04952539
1	1	-124457.5	-124466.6	9.067286	1.252714e-05
2	0	-37.33989	-37.4746	0.1347159	0.09488945
3	1	-25992.85	-26000.35	7.502833	5.988046e-05
4	0	-37.32649	-37.45874	0.1322453	0.09512418
5	1	-9571.355	-9577.862	6.506602	0.0001621598
6	0	-37.09072	-37.17601	0.08529061	0.09969723
7	1	-1806.978	-1811.829	4.851358	0.0008488019
8	0	-38.31427	-38.59448	0.2802093	0.08204101
9	1	-1068.39	-1072.722	4.332234	0.001426458
10	0	-38.22953	-38.49903	0.2695026	0.08292411
11	1	-235.8177	-238.6524	2.834643	0.006377561
12	0	-37.86171	-38.08116	0.2194596	0.08717947
13	1	-77.76802	-79.39771	1.629694	0.0212793
14	0	-37.55473	-37.7268	0.1720689	0.09141043
15	1	-40.37883	-40.86348	0.4846436	0.06687231
16	0	-38.42036	-38.71361	0.2932431	0.08097864
17	1	-38.50408	-38.80734	0.303255	0.08017193
18	0	-38.10447	-38.35764	0.2531767	0.08428903
19	1	-39.10386	-39.47292	0.3690661	0.0750656
20	0	-38.65287	-38.97337	0.3205005	0.07880118
21	1	-38.24315	-38.51439	0.2712422	0.08277999
22	0	-38.909	-39.25771	0.3487101	0.07660929
23	1	-38.24224	-38.51336	0.2711254	0.08278965
24	0	-37.96684	-38.20126	0.2344163	0.08588525
25	1	-38.90279	-39.25084	0.3480466	0.07666014
26	0	-37.10485	-37.19317	0.08831448	0.09939621
27	1	-37.46855	-37.62612	0.1575682	0.0927456
28	0	-37.19708	-37.30443	0.1073485	0.0975222
29	1	-37.58885	-37.7665	0.1776484	0.09090182
30	0	-38.26319	-38.53698	0.2737885	0.08256947
31	1	-37.10914	-37.19837	0.08922654	0.0993056
32	0	-37.08368	-37.16745	0.08377019	0.09984892
33	1	-37.4339	-37.58547	0.1515643	0.09330411
34	0	-37.08368	-37.16745	0.08377019	0.09984892
35	1	-37.19994	-37.30786	0.107919	0.09746657
36	0	-38.75164	-39.08323	0.3315887	0.07793224
37	1	-37.19994	-37.30786	0.107919	0.09746657
38	0	-37.68178	-37.8742	0.1924237	0.08956859
39	1	-37.4364	-37.5884	0.1520007	0.0932634
40	0	-37.44236	-37.59539	0.1530387	0.09316664
41	1	-37.76899	-37.97476	0.2057706	0.08838108
42	0	-37.44236	-37.59539	0.1530387	0.09316664
43	1	-38.26247	-38.53617	0.2736972	0.08257701
44	0	-38.29648	-38.57446	0.2779844	0.08222374
45	1	-37.36915	-37.5092	0.1400514	0.09438452
46	0	-38.7898	-39.1256	0.3357999	0.07760474
47	1	-37.59508	-37.77374	0.1786584	0.09081006
48	0	-37.53526	-37.70411	0.1688448	0.09170562
49	1	-37.71767	-37.91565	0.1979754	0.08907271
50	0	-37.62184	-37.8048	0.182963	0.09041999
51	1	-38.11184	-38.366	0.2541581	0.08420636
52	0	-40.77442	-41.29022	0.5158013	0.06482084
53	1	-37.72002	-37.91836	0.1983352	0.08904067
54	0	-37.45646	-37.61195	0.1554852	0.09293899
55	1	-37.56812	-37.74239	0.1742685	0.09120958
56	0	-37.94177	-38.17267	0.2309008	0.08618771
57	1	-37.94918	-38.18113	0.231944	0.08609785
58	0	-37.15544	-37.25434	0.09889992	0.09834961
59	1	-37.55869	-37.73141	0.1727201	0.09135092
60	0	-37.45599	-37.61139	0.1554031	0.09294662
61	1	-37.66116	-37.85036	0.1891969	0.08985808
62	0	-37.45599	-37.61139	0.1554031	0.09294662
63	1	-38.13813	-38.39576	0.2576353	0.08391406
64	0	-37.30222	-37.42994	0.1277188	0.09555573
65	1	-37.41504	-37.56329	0.1482503	0.09361383
66	0	-37.22252	-37.33492	0.1123983	0.09703096
67	1	-37.1581	-37.25755	0.09944729	0.09829579
68	0	-37.78133	-37.98895	0.2076217	0.08821763
69	1	-37.64594	-37.83274	0.186797	0.09007399
70	0	-37.80665	-38.01804	0.2113907	0.08788576
71	1	-37.38717	-37.53047	0.1432952	0.09407885
72	0	-38.3807	-38.66912	0.2884177	0.08137033
73	1	-37.46593	-37.62305	0.1571181	0.09278735
74	0	-37.96069	-38.19424	0.2335566	0.08595913
75	1	-37.18564	-37.2907	0.1050506	0.09774654
76	0	-37.30135	-37.42891	0.1275559	0.0955713
77	1	-37.21618	-37.32732	0.111146	0.09715256
78	0	-37.53741	-37.70661	0.1692021	0.09167286
79	1	-38.00741	-38.24745	0.240039	0.0854037
80	0	-37.42316	-37.57284	0.1496803	0.09348006
81	1	-37.07801	-37.16056	0.08254333	0.0999715
82	0	-38.12115	-38.37654	0.2553927	0.08410245
83	1	-42.16104	-42.77398	0.6129374	0.05882054
84	0	-37.1661	-37.26718	0.1010851	0.09813493
85	1	-37.58711	-37.76447	0.1773659	0.09092751
86	0	-37.38331	-37.52591	0.1426022	0.09414407
87	1	-37.82149	-38.03507	0.2135821	0.08769337
88	0	-37.38697	-37.53022	0.1432583	0.09408232
89	1	-37.58248	-37.75909	0.1766132	0.09099597
90	0	-37.33691	-37.47108	0.1341693	0.09494134
91	1	-37.95304	-38.18552	0.2324851	0.08605128
92	0	-37.54536	-37.71588	0.1705203	0.09155209
93	1	-37.99749	-38.23616	0.2386716	0.08552057
94	0	-38.57806	-38.88997	0.3119139	0.07948073
95	1	-38.02208	-38.26414	0.2420527	0.0852319
96	0	-38.68198	-39.00577	0.3237966	0.07854187
97	1	-37.46045	-37.61662	0.1561737	0.09287502
98	0	-38.41018	-38.70219	0.2920091	0.08107863
99	1	-41.06119	-41.5985	0.5373173	0.06344105
100	0	-37.10293	-37.19084	0.08790539	0.09943688
101	1	-38.01496	-38.25603	0.2410761	0.08531518
102	0	-39.54092	-39.9527	0.411778	0.07192691
103	1	-38.38147	-38.66998	0.2885113	0.08136272
104	0	-38.14793	-38.40686	0.2589246	0.08380593
105	1	-37.83446	-38.04995	0.2154883	0.08752637
106	0	-38.07892	-38.32868	0.2497604	0.08457748
107	1	-37.11353	-37.20369	0.09015768	0.09921317
108	0	-37.86189	-38.08138	0.2194867	0.08717711
109	1	-38.10337	-38.3564	0.2530299	0.08430141
110	0	-37.35786	-37.49586	0.1380025	0.0945781
111	1	-37.20319	-37.31175	0.1085671	0.09740342
112	0	-38.92028	-39.27019	0.3499133	0.07651717
113	1	-38.12914	-38.38559	0.2564501	0.08401358
114	0	-39.5626	-39.9764	0.4138011	0.07178154
115	1	-37.19833	-37.30593	0.1075972	0.09749794
116	0	-37.20856	-37.3182	0.1096368	0.09729929
117	1	-37.38598	-37.52906	0.1430813	0.09409898
118	0	-37.30171	-37.42933	0.1276236	0.09556483
119	1	-37.38585	-37.52891	0.1430591	0.09410107
120	0	-37.39818	-37.54344	0.1452612	0.09389407
121	1	-38.1831	-38.44661	0.2635165	0.083422
122	0	-37.39818	-37.54344	0.1452612	0.09389407
123	1	-39.53794	-39.94944	0.411499	0.07194698
124	0	-37.57816	-37.75407	0.1759101	0.09105997
125	1	-38.25174	-38.52408	0.2723358	0.08268951
126	0	-37.24927	-37.36689	0.1176214	0.09652548
127	1	-37.62211	-37.80512	0.1830061	0.0904161
128	0	-37.1223	-37.21431	0.09200858	0.09902971
129	1	-38.78895	-39.12465	0.3357063	0.07761201
130	0	-37.3271	-37.45946	0.132358	0.09511346
131	1	-37.84366	-38.06049	0.2168335	0.08740871
132	0	-38.23014	-38.49972	0.2695805	0.08291765
133	1	-37.46576	-37.62284	0.1570881	0.09279014
134	0	-38.14941	-38.40852	0.259118	0.08378973
135	1	-38.04921	-38.29496	0.24575	0.08491736
136	0	-38.14941	-38.40852	0.259118	0.08378973
137	1	-37.32806	-37.46059	0.1325347	0.09509665
138	0	-37.91108	-38.13763	0.2265548	0.0865631
139	1	-38.58952	-38.90276	0.3132402	0.07937538
140	0	-37.65023	-37.8377	0.1874742	0.09001302
141	1	-37.18038	-37.28437	0.1039876	0.09785051
142	0	-37.24207	-37.3583	0.1162249	0.09666038
143	1	-37.4168	-37.56536	0.1485615	0.09358471
144	0	-37.16119	-37.26127	0.1000809	0.09823353
145	1	-37.6573	-37.84588	0.1885889	0.08991273
146	0	-39.1642	-39.53939	0.3751941	0.07460701
147	1	-42.16757	-42.78093	0.6133581	0.0587958
148	0	-37.37218	-37.51278	0.1405993	0.09433282
149	1	-37.5065	-37.67053	0.1640283	0.09214839
150	0	-37.42409	-37.57393	0.149844	0.09346476
151	1	-37.27569	-37.39839	0.1227004	0.09603647
152	0	-37.56713	-37.74124	0.1741063	0.09122438
153	1	-37.14933	-37.24697	0.09764144	0.09847346
154	0	-37.46009	-37.6162	0.1561119	0.09288076
155	1	-37.09054	-37.17579	0.08525111	0.09970117
156	0	-37.29404	-37.42022	0.1261797	0.09570292
157	1	-37.42926	-37.58001	0.150751	0.09338003
158	0	-37.29404	-37.42022	0.1261797	0.09570292
159	1	-37.08054	-37.16363	0.08309063	0.0999168
160	0	-37.29404	-37.42022	0.1261797	0.09570292
161	1	-37.08054	-37.16363	0.08309063	0.0999168
162	0	-37.29404	-37.42022	0.1261797	0.09570292
163	1	-38.86618	-39.21029	0.3441142	0.07696219
164	0	-37.96279	-38.19664	0.2338508	0.08593384
165	1	-37.97384	-38.20924	0.2353924	0.08580146
166	0	-37.60703	-37.78762	0.1805876	0.09063504
167	1	-37.5945	-37.77306	0.1785638	0.09081865
168	0	-37.57758	-37.7534	0.1758154	0.0910686
169	1	-38.11743	-38.37233	0.2548996	0.08414394
170	0	-37.32005	-37.4511	0.1310503	0.09523792
171	1	-38.74177	-39.07227	0.3304931	0.07801767
172	0	-38.69732	-39.02284	0.3255243	0.07840629
173	1	-37.43383	-37.58539	0.1515522	0.09330524
174	0	-37.46757	-37.62497	0.1574001	0.0927612
175	1	-37.34575	-37.48154	0.1357917	0.09478743
176	0	-37.64357	-37.82999	0.1864211	0.09010786
177	1	-38.52305	-38.82854	0.3054912	0.07999285
178	0	-37.47055	-37.62846	0.157911	0.09271381
179	1	-37.21978	-37.33163	0.1118568	0.09708352
180	0	-37.40684	-37.55364	0.1467997	0.09374973
181	1	-37.21255	-37.32298	0.1104284	0.0972223
182	0	-37.57433	-37.74961	0.175284	0.091117
183	1	-38.65515	-38.97591	0.3207595	0.07878077
184	0	-37.4531	-37.60801	0.1549042	0.092993
185	1	-39.92015	-40.36619	0.4460485	0.0695037
186	0	-37.50551	-37.66937	0.1638601	0.09216388
187	1	-37.56469	-37.7384	0.1737066	0.09126084
188	0	-37.43592	-37.58784	0.1519166	0.09327125
189	1	-37.32523	-37.45724	0.1320104	0.09514652
190	0	-37.53843	-37.7078	0.1693709	0.09165739
191	1	-37.10872	-37.19785	0.08913664	0.09931452
192	0	-37.2137	-37.32436	0.1106565	0.09720012
193	1	-37.10872	-37.19785	0.08913664	0.09931452
194	0	-38.14224	-38.40042	0.2581764	0.08386867
195	1	-38.76364	-39.09656	0.3329174	0.07782876
196	0	-37.91977	-38.14756	0.2277904	0.08645621
197	1	-37.34831	-37.48458	0.1362613	0.09474292
198	0	-37.18806	-37.29359	0.1055366	0.09769906
199	1	-37.34831	-37.48458	0.1362613	0.09474292
200	0	-37.18806	-37.29359	0.1055366	0.09769906
201	1	-37.12295	-37.21509	0.09214406	0.09901629
202	0	-37.1439	-37.24042	0.09651762	0.09858418
203	1	-37.15239	-37.25067	0.09827332	0.09841125
204	0	-38.81598	-39.15464	0.3386667	0.07738259
205	1	-37.78292	-37.99078	0.207859	0.08819669
206	0	-37.2764	-37.39924	0.1228356	0.09602349
207	1	-37.60149	-37.78118	0.179694	0.09071606
208	0	-39.21589	-39.59627	0.3803814	0.074221
209	1	-37.92037	-38.14825	0.2278762	0.08644879
210	0	-37.16323	-37.26373	0.1004981	0.09819255
211	1	-38.30878	-38.5883	0.2795238	0.08209726
