Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
0	0	-45.39381	0	-45.39381	0.006905444
1	1	370.6838	0	370.6838	0.0001253921
2	0	-45.56987	0	-45.56987	0.006432325
3	1	371.2953	0	371.2953	0.0001175048
4	0	-45.56987	0	-45.56987	0.006432325
5	1	370.1923	0	370.1923	0.0001299046
6	0	-45.38749	0	-45.38749	0.006842577
7	1	370.3632	0	370.3632	9.50232e-05
8	0	-45.68139	0	-45.68139	0.006331357
9	1	371.3049	0	371.3049	0.0001033678
10	0	-45.71786	0	-45.71786	0.006303089
11	1	371.4128	0	371.4128	0.0001149588
12	0	-45.80187	0	-45.80187	0.006243949
13	1	370.4918	0	370.4918	9.581523e-05
14	0	-45.80187	0	-45.80187	0.006243949
15	1	370.8689	0	370.8689	9.855181e-05
16	0	-45.46162	0	-45.46162	0.007095825
17	1	371.2849	0	371.2849	0.0001176929
18	0	-47.3111	0	-47.3111	0.005651059
19	1	371.485	0	371.485	0.0001077642
20	0	-45.42111	0	-45.42111	0.00665313
21	1	370.0965	0	370.0965	0.0001306997
22	0	-46.55288	0	-46.55288	0.005886734
23	1	371.471	0	371.471	0.0001071492
24	0	-45.40273	0	-45.40273	0.00694798
25	1	371.2889	0	371.2889	0.0001031197
26	0	-45.38867	0	-45.38867	0.006863477
27	1	370.9923	0	370.9923	0.0001219593
28	0	-46.77227	0	-46.77227	0.005810786
29	1	370.688	0	370.688	0.0001253494
30	0	-47.77247	0	-47.77247	0.008553785
31	1	370.7513	0	370.7513	9.761643e-05
32	0	-46.76298	0	-46.76298	0.00581385
33	1	371.3834	0	371.3834	0.0001156929
34	0	-45.53447	0	-45.53447	0.007209252
35	1	371.3943	0	371.3943	0.0001154308
36	0	-47.08726	0	-47.08726	0.005713568
37	1	371.5032	0	371.5032	0.000111065
38	0	-45.89317	0	-45.89317	0.007558471
39	1	371.4529	0	371.4529	0.0001065163
40	0	-45.39096	0	-45.39096	0.006768649
41	1	371.2566	0	371.2566	0.0001181871
42	0	-45.43016	0	-45.43016	0.006631718
43	1	370.9128	0	370.9128	9.892637e-05
44	0	-46.19067	0	-46.19067	0.007765722
45	1	368.8672	0	368.8672	0.0001395843
46	0	-45.46555	0	-45.46555	0.007103021
47	1	370.9536	0	370.9536	0.0001224306
48	0	-45.59143	0	-45.59143	0.006410619
49	1	371.2981	0	371.2981	0.0001174529
50	0	-46.97293	0	-46.97293	0.005747468
51	1	371.193	0	371.193	0.0001018067
52	0	-45.60417	0	-45.60417	0.007294668
53	1	371.4304	0	371.4304	0.0001058651
54	0	-45.57981	0	-45.57981	0.007266487
55	1	371.5011	0	371.5011	0.0001088339
56	0	-45.40614	0	-45.40614	0.006696534
57	1	371.494	0	371.494	0.0001118671
58	0	-45.69842	0	-45.69842	0.007392149
59	1	370.3271	0	370.3271	9.481046e-05
60	0	-46.159	0	-46.159	0.007745415
61	1	370.9795	0	370.9795	0.0001221174
62	0	-46.159	0	-46.159	0.007745415
63	1	369.2919	0	369.2919	0.0001367281
64	0	-45.52517	0	-45.52517	0.007196537
65	1	370.9813	0	370.9813	0.0001220954
66	0	-46.69605	0	-46.69605	0.008055086
67	1	370.6942	0	370.6942	0.0001252862
68	0	-46.25214	0	-46.25214	0.007804229
69	1	369.2615	0	369.2615	8.976851e-05
70	0	-48.4583	0	-48.4583	0.005387097
71	1	370.9441	0	370.9441	0.000122544
72	0	-45.6301	0	-45.6301	0.006374595
73	1	371.4777	0	371.4777	0.0001127645
74	0	-45.52453	0	-45.52453	0.007195647
75	1	371.4777	0	371.4777	0.0001127645
76	0	-48.97816	0	-48.97816	0.009024423
77	1	370.0493	0	370.0493	0.0001310836
78	0	-47.44312	0	-47.44312	0.005616293
79	1	371.4854	0	371.4854	0.0001123813
80	0	-47.59184	0	-47.59184	0.008476973
81	1	371.1703	0	371.1703	0.0001195574
82	0	-49.05814	0	-49.05814	0.009053672
83	1	371.3145	0	371.3145	0.0001171448
84	0	-48.07281	0	-48.07281	0.008677207
85	1	370.344	0	370.344	9.49095e-05
86	0	-45.57341	0	-45.57341	0.007258818
87	1	369.8231	0	369.8231	0.0001328638
88	0	-45.57341	0	-45.57341	0.007258818
89	1	370.8401	0	370.8401	0.0001237374
90	0	-46.14497	0	-46.14497	0.007736303
91	1	371.4593	0	371.4593	0.0001067252
92	0	-46.14497	0	-46.14497	0.007736303
93	1	371.4755	0	371.4755	0.0001128665
94	0	-45.74675	0	-45.74675	0.007436919
95	1	371.1812	0	371.1812	0.0001016622
96	0	-45.52101	0	-45.52101	0.006487296
97	1	371.21	0	371.21	0.0001189497
98	0	-46.83895	0	-46.83895	0.008128338
99	1	371.4912	0	371.4912	0.0001081058
100	0	-46.19898	0	-46.19898	0.007770998
101	1	370.8786	0	370.8786	0.0001233054
102	0	-46.42378	0	-46.42378	0.005935496
103	1	371.392	0	371.392	0.0001154858
104	0	-46.41784	0	-46.41784	0.007902814
105	1	371.5073	0	371.5073	0.0001099247
106	0	-46.15865	0	-46.15865	0.007745186
107	1	371.3725	0	371.3725	0.0001159422
108	0	-46.89437	0	-46.89437	0.008155997
109	1	371.4905	0	371.4905	0.0001080658
110	0	-45.38804	0	-45.38804	0.006854401
