Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
0	0	-68.49929	-69.30621	0.8069186	0.01741207	0.2750668	0.03567744	39.80844	3.561064
1	1	-346.662	-345.9585	-0.7034342	0.048842	0.5544266	0.1036365	14.19162	-4.669677
2	0	-39.25081	-37.82548	-1.425336	0.03330949	0.4414221	0.2656566	20.8093	3.563108
3	1	-37.62094	-37.19537	-0.4255725	0.003137007	0.05899125	0.149704	220.9581	1.891666
4	0	-42.57192	-39.27956	-3.292362	0.1356329	0.8126814	0.4049656	5.110466	3.001614
5	1	-39.95314	-38.01508	-1.938063	0.04091485	0.5016423	0.3984164	16.94121	2.173873
6	0	-39.03446	-37.02907	-2.005391	0.05443046	0.5865596	0.3520956	12.73455	2.570723
7	1	-41.31485	-37.95686	-3.357992	0.1244696	0.7964361	0.5062978	5.568807	2.759355
8	0	-39.22746	-37.3484	-1.879063	0.0470552	0.5433144	0.3443844	14.73051	2.279456
9	1	-40.56384	-37.71304	-2.850801	0.08555483	0.7120278	0.528291	8.101789	3.08933
10	0	-41.19235	-38.07873	-3.11362	0.09961437	0.7488675	0.563327	6.958305	3.270553
11	1	-39.25809	-37.94971	-1.308383	0.03449151	0.4514795	0.232422	20.09617	3.581572
12	0	-39.39516	-37.19101	-2.204154	0.06554468	0.6403572	0.3671116	10.57519	2.47436
13	1	-39.59229	-37.60136	-1.990925	0.07327071	0.671296	0.2659472	9.460085	2.891624
14	0	-38.62907	-37.5594	-1.069664	0.02691235	0.3819286	0.2037512	25.75573	3.465787
15	1	-37.47342	-36.88721	-0.5862047	0.008562769	0.1504105	0.1628204	80.94895	3.188517
16	0	-38.01526	-36.86997	-1.145294	0.03621216	0.4656414	0.1927048	19.14128	2.549616
17	1	-38.16737	-37.16226	-1.005112	0.01117319	0.1900941	0.2385741	62.03662	2.259742
18	0	-38.96714	-37.13463	-1.832505	0.06143523	0.6218711	0.2682896	11.28257	2.563498
19	1	-37.85125	-36.88045	-0.9708083	0.01581029	0.2544893	0.2159123	43.84151	2.221044
20	0	-40.7276	-37.61033	-3.117264	0.0997109	0.7490911	0.5646132	6.951569	2.835197
21	1	-39.68663	-39.55945	-0.1271818	0.009756105	0.1688764	0.1011665	71.04753	1.834295
22	0	-41.34962	-39.37671	-1.972903	0.03653539	0.4682402	0.4388695	18.97194	3.763549
23	1	-37.93703	-37.19041	-0.7466148	0.001873915	0.03581517	0.2100919	369.8926	3.091441
24	0	-37.5152	-37.06625	-0.448958	0.005507264	0.1004948	0.1482001	125.8605	3.273193
25	1	-38.2808	-38.0763	-0.2045013	0.008683516	0.1523045	0.1109676	79.82334	2.088953
26	0	-39.10313	-37.21337	-1.889764	0.04542146	0.5327699	0.3562163	15.26035	2.507058
27	1	-41.78616	-38.46278	-3.32338	0.1097994	0.7706166	0.6016918	6.31285	2.331321
28	0	-37.96028	-37.29054	-0.6697388	0.01623455	0.2600189	0.1588261	42.69581	3.307277
