Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
0	0	-278.3667	0	-278.3667	0.05026295	0.5629632	0.1175538	13.79042	-6.487103
1	1	223.8489	0	223.8489	0.1677743	0.8480297	0.002086926	4.131427	3.039966
2	0	-277.9482	0	-277.9482	0.08623679	0.7140315	0.1792071	8.03772	-6.431372
3	1	225.2064	0	225.2064	0.1642502	0.8448013	0.002287506	4.22007	3.039966
4	0	-278.233	0	-278.233	0.1040181	0.7587135	0.1807881	6.663718	-6.406202
5	1	225.1378	0	225.1378	0.1215216	0.7916943	0.002037775	5.7039	3.039966
6	0	-279.7217	0	-279.7217	0.1138561	0.7783428	0.1792011	6.087922	-6.469973
7	1	224.1524	0	224.1524	0.1743075	0.8536794	0.002480385	3.976576	3.034486
8	0	-278.1737	0	-278.1737	0.101148	0.7523779	0.195575	6.852799	-6.434886
9	1	224.8327	0	224.8327	0.1941496	0.8685563	0.002890936	3.57017	3.043379
10	0	-277.958	0	-277.958	0.08130617	0.6989728	0.1572421	8.525148	-6.335548
11	1	225.3514	0	225.3514	0.1491514	0.8293123	0.002400611	4.647272	3.043379
12	0	-278.5542	0	-278.5542	0.09199139	0.7300089	0.1800639	7.534914	-6.322733
13	1	225.6153	0	225.6153	0.1223065	0.7929768	0.00178224	5.667297	3.048037
14	0	-278.6181	0	-278.6181	0.08861541	0.7208327	0.1881988	7.821971	-6.362601
15	1	225.2416	0	225.2416	0.1043019	0.7593241	0.001709407	6.645583	3.048037
16	0	-278.2632	0	-278.2632	0.0838624	0.7069477	0.1622397	8.265291	-6.318354
17	1	225.1914	0	225.1914	0.1060055	0.7629304	0.001702678	6.538787	3.038661
18	0	-278.2257	0	-278.2257	0.09761874	0.7441634	0.1740863	7.100554	-6.495703
19	1	222.2567	0	222.2567	0.08798333	0.7190534	0.001679986	7.878165	3.03124
20	0	-277.5011	0	-277.5011	0.08214528	0.7016318	0.1594395	8.438065	-6.386277
21	1	225.526	0	225.526	0.1618812	0.8425547	0.002415833	4.281827	3.045837
22	0	-277.6747	0	-277.6747	0.07858988	0.6900784	0.1588311	8.819802	-6.493274
23	1	224.8282	0	224.8282	0.1888459	0.8648803	0.002881182	3.670438	3.045837
