Iteration	Posterior	Likelihood	Prior	extirpation_rate	rate_bg
0	-68.06247	-69.35918	1.296707	1.245464	0.01
10	-56.84219	-55.38087	-1.461319	0.8541797	0.2908994
20	-57.13641	-53.65993	-3.476476	2.289177	0.1325956
30	-55.38192	-53.72282	-1.659102	1.282452	0.1789464
40	-55.58577	-54.74297	-0.8427997	0.5120726	0.1448589
50	-56.93359	-54.11701	-2.816574	1.599437	0.2976363
60	-59.27163	-54.4187	-4.85293	2.417463	0.4015732
70	-56.58387	-54.09884	-2.485038	1.469517	0.2803984
80	-57.61515	-54.37258	-3.242578	1.743971	0.3351625
90	-56.5247	-56.49474	-0.02996154	0.5921606	0.07309391
100	-55.09381	-54.39512	-0.6986978	0.8392189	0.1377026
110	-55.0763	-54.21187	-0.8644257	0.8812096	0.1555634
120	-55.19757	-53.97003	-1.227546	1.04505	0.1781253
130	-55.31938	-54.40485	-0.9145278	0.7350714	0.1833991
140	-55.16105	-54.55562	-0.6054301	0.7083997	0.1356084
150	-56.09517	-54.41411	-1.681054	1.520054	0.1129743
