Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	0	-71.01409	-100.9055	29.89141	0	0	1	0	0.003818734	0.005542585	0.0002613442	3.697936e-05	0.01297768	0.01297768	0.005676893	0.001854444	0.348389	0.189976	0.383734	0.0779015
1	1	-93.83679	-115.0177	21.18093	1	1	0	1	0.007215532	0.007215532	0.002142784	0.002142784	0.002869639	0.005237241	0.003453739	0.003453739	0.121023	0.440753	0.401759	0.0364643
2	0	-79.62895	-99.42296	19.794	1	1	1	0	0.003107929	0.003107929	0.0001786862	0.0001786862	0.01171638	0.01171638	0.01063941	0.003209837	0.32881	0.1793	0.362168	0.129723
3	1	-85.16977	-110.6176	25.4478	0	0	1	1	0.006275361	0.001563192	0.00546609	0.001857625	0.002910553	0.002910553	0.007976458	0.007976458	0.121023	0.440753	0.401759	0.0364643
4	0	-68.14512	-95.97163	27.82651	1	0	0	0	0.005062325	0.005062325	0.0001523361	0.001623377	0.01644684	0.001014039	0.01404295	0.003638177	0.202224	0.213115	0.430472	0.154188
5	1	-85.46258	-106.865	21.40242	1	0	0	1	0.006401645	0.006401645	0.00401711	0.001319406	0.004194453	0.01981516	0.01344139	0.01344139	0.150231	0.305788	0.498717	0.0452643
6	0	-66.07168	-93.89341	27.82173	0	0	1	0	0.005890963	0.001709782	9.244054e-05	0.001419383	0.01644684	0.01644684	0.01441334	0.002034642	0.146344	0.154226	0.311522	0.387908
7	1	-86.96389	-105.6837	18.71981	1	1	1	0	0.006564747	0.006564747	0.005636726	0.005636726	0.006462184	0.006462184	0.009568019	0.006765051	0.150231	0.305788	0.498717	0.0452643
8	0	-66.49282	-90.36297	23.87015	0	0	1	0	0.005365358	0.003488026	0.0001521977	0.01271766	0.03104419	0.03104419	0.01057369	0.001269594	0.146344	0.154226	0.311522	0.387908
9	1	-84.36043	-103.2803	18.91984	0	1	1	1	0.006564747	0.004871864	0.005636726	0.005636726	0.008312829	0.008312829	0.008466336	0.008466336	0.134601	0.359088	0.446831	0.0594805
10	0	-69.99458	-87.4831	17.48852	0	0	1	1	0.01175782	0.00221777	0.0001241316	0.003546442	0.04334327	0.04334327	0.01058749	0.01058749	0.265533	0.185236	0.0833257	0.465905
11	1	-77.67569	-100.5744	22.89867	0	1	1	0	0.006133553	0.005192934	0.005636726	0.005636726	0.01200942	0.01200942	0.007960894	0.003696961	0.0593779	0.378179	0.470586	0.0918568
12	0	-69.4584	-90.39819	20.93979	0	0	0	1	0.01297625	0.002185687	0.0001207313	0.00320242	0.05279992	0.0002850264	0.0098025	0.0098025	0.287136	0.200306	0.0901045	0.422454
13	1	-84.34465	-97.56982	13.22517	1	1	1	1	0.00637376	0.00637376	0.004210182	0.004210182	0.01448014	0.01448014	0.0118252	0.0118252	0.0534372	0.409708	0.423505	0.113349
14	0	-75.50037	-88.72934	13.22897	0	1	1	1	0.01228429	0.002185687	0.0001831313	0.0001831313	0.0419491	0.0419491	0.0098025	0.0098025	0.18799	0.171373	0.0528341	0.587803
15	1	-81.18344	-99.3458	18.16236	1	1	1	0	0.002491101	0.002491101	0.00525185	0.00525185	0.01448014	0.01448014	0.01157668	0.004385576	0.0680476	0.248316	0.539296	0.14434
16	0	-69.97749	-87.24166	17.26418	0	0	1	1	0.01109485	0.001789758	0.0002218912	0.004542029	0.04041673	0.04041673	0.01479493	0.01479493	0.262287	0.239103	0.0737151	0.424895
17	1	-68.48619	-90.14604	21.65985	1	0	0	0	0.003726759	0.003726759	0.00422488	0.001918787	0.05230781	0.001361595	0.008887743	0.004826185	0.146621	0.22738	0.493828	0.132171
18	0	-77.53951	-87.26012	9.720606	1	0	1	1	0.01075348	0.01075348	0.0002842853	0.001755768	0.05888431	0.05888431	0.01479493	0.01479493	0.255008	0.260219	0.0716693	0.413103
19	1	-73.53216	-89.60651	16.07434	1	0	1	0	0.004166503	0.004166503	0.006522228	0.001918787	0.05308357	0.05308357	0.01285773	0.001117288	0.122023	0.283779	0.409822	0.184377
20	0	-79.04883	-89.40385	10.35503	1	1	1	0	0.009848397	0.009848397	0.0002330378	0.0002330378	0.04336622	0.04336622	0.01260533	0.01679087	0.255008	0.260219	0.0716693	0.413103
21	1	-73.76948	-92.61635	18.84687	1	0	1	0	0.002828136	0.002828136	0.007125134	0.001385992	0.0363748	0.0363748	0.01285773	0.00323528	0.140533	0.0812871	0.471989	0.30619
22	0	-77.71157	-88.91982	11.20825	1	1	1	0	0.009848397	0.009848397	0.0002519268	0.0002519268	0.05043082	0.05043082	0.01079057	0.006641637	0.255008	0.260219	0.0716693	0.413103
23	1	-72.09973	-92.05008	19.95036	0	0	1	1	0.004850237	0.001764092	0.007101632	0.001461858	0.02869798	0.02869798	0.01361926	0.01361926	0.140533	0.0812871	0.471989	0.30619
