Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-93.83679	-115.0177	21.18093	1	1	0	1	0.007215532	0.007215532	0.002142784	0.002142784	0.002869639	0.005237241	0.003453739	0.003453739	0.121023	0.440753	0.401759	0.0364643
1	-85.16977	-110.6176	25.4478	0	0	1	1	0.006275361	0.001563192	0.00546609	0.001857625	0.002910553	0.002910553	0.007976458	0.007976458	0.121023	0.440753	0.401759	0.0364643
2	-85.46258	-106.865	21.40242	1	0	0	1	0.006401645	0.006401645	0.00401711	0.001319406	0.004194453	0.01981516	0.01344139	0.01344139	0.150231	0.305788	0.498717	0.0452643
3	-86.96389	-105.6837	18.71981	1	1	1	0	0.006564747	0.006564747	0.005636726	0.005636726	0.006462184	0.006462184	0.009568019	0.006765051	0.150231	0.305788	0.498717	0.0452643
4	-84.36043	-103.2803	18.91984	0	1	1	1	0.006564747	0.004871864	0.005636726	0.005636726	0.008312829	0.008312829	0.008466336	0.008466336	0.134601	0.359088	0.446831	0.0594805
5	-77.67569	-100.5744	22.89867	0	1	1	0	0.006133553	0.005192934	0.005636726	0.005636726	0.01200942	0.01200942	0.007960894	0.003696961	0.0593779	0.378179	0.470586	0.0918568
6	-84.34465	-97.56982	13.22517	1	1	1	1	0.00637376	0.00637376	0.004210182	0.004210182	0.01448014	0.01448014	0.0118252	0.0118252	0.0534372	0.409708	0.423505	0.113349
7	-81.18344	-99.3458	18.16236	1	1	1	0	0.002491101	0.002491101	0.00525185	0.00525185	0.01448014	0.01448014	0.01157668	0.004385576	0.0680476	0.248316	0.539296	0.14434
8	-68.48619	-90.14604	21.65985	1	0	0	0	0.003726759	0.003726759	0.00422488	0.001918787	0.05230781	0.001361595	0.008887743	0.004826185	0.146621	0.22738	0.493828	0.132171
9	-73.53216	-89.60651	16.07434	1	0	1	0	0.004166503	0.004166503	0.006522228	0.001918787	0.05308357	0.05308357	0.01285773	0.001117288	0.122023	0.283779	0.409822	0.184377
10	-73.76948	-92.61635	18.84687	1	0	1	0	0.002828136	0.002828136	0.007125134	0.001385992	0.0363748	0.0363748	0.01285773	0.00323528	0.140533	0.0812871	0.471989	0.30619
11	-72.09973	-92.05008	19.95036	0	0	1	1	0.004850237	0.001764092	0.007101632	0.001461858	0.02869798	0.02869798	0.01361926	0.01361926	0.140533	0.0812871	0.471989	0.30619
12	-73.36262	-92.24534	18.88272	0	0	1	1	0.009563102	0.002840877	0.007101632	0.0007395706	0.02869798	0.02869798	0.01465885	0.01465885	0.107056	0.340253	0.359554	0.193138
